,Region,Country,City,Filename
0,asia_wmo_region_2,CHN,Jiangxi.Ganzhou,CHN_Jiangxi.Ganzhou.579930_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangxi.Jian,CHN_Jiangxi.Jian.577990_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangxi.Jingdezhen,CHN_Jiangxi.Jingdezhen.585270_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangxi.Nanchang,CHN_Jiangxi.Nanchang.586060_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangxi.Nancheng,CHN_Jiangxi.Nancheng.587150_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangxi.Nancheng,CHN_Jiangxi.Nancheng.587150_SWERA.epw
0,asia_wmo_region_2,CHN,Jiangxi.Nanjing,CHN_Jiangxi.Nanjing.582380_SWERA.epw
0,asia_wmo_region_2,CHN,Jiangxi.Suichuan,CHN_Jiangxi.Suichuan.578960_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangxi.Yichun,CHN_Jiangxi.Yichun.577930_CSWD.epw
0,asia_wmo_region_2,CHN,Jiangxi.Yushan,CHN_Jiangxi.Yushan.586340_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Baicheng,CHN_Jilin.Baicheng.509360_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Changchun,CHN_Jilin.Changchun.541610_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Donggang,CHN_Jilin.Donggang.542840_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Dunhua,CHN_Jilin.Dunhua.541860_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Linjiang,CHN_Jilin.Linjiang.543740_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Qian.Gorlos,CHN_Jilin.Qian.Gorlos.509490_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Siping,CHN_Jilin.Siping.541570_CSWD.epw
0,asia_wmo_region_2,CHN,Jilin.Yanji,CHN_Jilin.Yanji.542920_CSWD.epw
0,asia_wmo_region_2,CHN,Kinjiang.Uygar.Kashi,CHN_Kinjiang.Uygar.Kashi.517090_SWERA.epw
0,asia_wmo_region_2,CHN,Kinjiang.Uygur.Kuqa,CHN_Kinjiang.Uygur.Kuqa.516440_SWERA.epw
0,asia_wmo_region_2,CHN,Kinjiang.Uygur.Yining,CHN_Kinjiang.Uygur.Yining.514310_SWERA.epw
0,asia_wmo_region_2,CHN,Kinjiang.Uyhur.Hotan,CHN_Kinjiang.Uyhur.Hotan.518280_SWERA.epw
0,asia_wmo_region_2,CHN,Liaoning.Benxi,CHN_Liaoning.Benxi.543460_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Chaoyang,CHN_Liaoning.Chaoyang.543240_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Dalian,CHN_Liaoning.Dalian.546620_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Dalian,CHN_Liaoning.Dalian.546620_SWERA.epw
0,asia_wmo_region_2,CHN,Liaoning.Dandong,CHN_Liaoning.Dandong.544970_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Jinzhou,CHN_Liaoning.Jinzhou.543370_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Kuandian,CHN_Liaoning.Kuandian.544930_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Shenyang,CHN_Liaoning.Shenyang.543420_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Shenyang,CHN_Liaoning.Shenyang.543420_IWEC.epw
0,asia_wmo_region_2,CHN,Liaoning.Xingcheng,CHN_Liaoning.Xingcheng.544550_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Xinmin,CHN_Liaoning.Xinmin.543330_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Yingkou,CHN_Liaoning.Yingkou.544710_CSWD.epw
0,asia_wmo_region_2,CHN,Liaoning.Zhangwu,CHN_Liaoning.Zhangwu.542360_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Abag.Qi.Hot,CHN_Nei.Mongol.Abag.Qi.Hot.531920_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Arxan,CHN_Nei.Mongol.Arxan.507270_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Bailingmiao,CHN_Nei.Mongol.Bailingmiao.533520_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Bailingmiao,CHN_Nei.Mongol.Bailingmiao.533520_SWERA.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Bairin.Zuo.Qi,CHN_Nei.Mongol.Bairin.Zuo.Qi.540270_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Bayan.Mod,CHN_Nei.Mongol.Bayan.Mod.524950_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Bugt,CHN_Nei.Mongol.Bugt.506320_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Bugt,CHN_Nei.Mongol.Bugt.506320_SWERA.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Chifeng,CHN_Nei.Mongol.Chifeng.542180_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Dong.Ujimqin.Qi,CHN_Nei.Mongol.Dong.Ujimqin.Qi.509150_CSWD.epw
0,asia_wmo_region_2,CHN,Nei.Mongol.Dongsheng,CHN_Nei.Mongol.Dongsheng.535430_CSWD.epw
