,City,Country Code,Filename,Lat,Long
0,Suichuan,CHN,CHN_Jiangxi.Suichuan.578960_CSWD.epw,26.33,114.50
0,Yichun,CHN,CHN_Jiangxi.Yichun.577930_CSWD.epw,27.80,114.38
0,Yushan,CHN,CHN_Jiangxi.Yushan.586340_CSWD.epw,28.68,118.33
0,Baicheng,CHN,CHN_Jilin.Baicheng.509360_CSWD.epw,45.63,122.83
0,Changchun,CHN,CHN_Jilin.Changchun.541610_CSWD.epw,43.90,125.22
0,Donggang,CHN,CHN_Jilin.Donggang.542840_CSWD.epw,42.10,127.57
0,Dunhua,CHN,CHN_Jilin.Dunhua.541860_CSWD.epw,43.37,128.20
0,Linjiang,CHN,CHN_Jilin.Linjiang.543740_CSWD.epw,41.00,126.92
0,Qian Gorlos,CHN,CHN_Jilin.Qian.Gorlos.509490_CSWD.epw,45.08,124.87
0,Siping,CHN,CHN_Jilin.Siping.541570_CSWD.epw,43.17,124.33
0,Yanji,CHN,CHN_Jilin.Yanji.542920_CSWD.epw,42.88,129.47
0,KASHI,CHN,CHN_Kinjiang.Uygar.Kashi.517090_SWERA.epw,39.47,75.98
0,KUQA,CHN,CHN_Kinjiang.Uygur.Kuqa.516440_SWERA.epw,41.72,82.95
0,YINING,CHN,CHN_Kinjiang.Uygur.Yining.514310_SWERA.epw,43.95,81.33
0,HOTAN,CHN,CHN_Kinjiang.Uyhur.Hotan.518280_SWERA.epw,37.13,79.93
0,Benxi,CHN,CHN_Liaoning.Benxi.543460_CSWD.epw,41.32,123.78
0,Chaoyang,CHN,CHN_Liaoning.Chaoyang.543240_CSWD.epw,41.55,120.45
0,Dalian,CHN,CHN_Liaoning.Dalian.546620_CSWD.epw,38.90,121.63
0,DALIAN/DAIREN/LUDA,CHN,CHN_Liaoning.Dalian.546620_SWERA.epw,38.90,121.63
0,Dandong,CHN,CHN_Liaoning.Dandong.544970_CSWD.epw,40.05,124.33
0,Jinzhou,CHN,CHN_Liaoning.Jinzhou.543370_CSWD.epw,41.68,121.12
0,Kuandian,CHN,CHN_Liaoning.Kuandian.544930_CSWD.epw,40.72,124.78
0,Shenyang,CHN,CHN_Liaoning.Shenyang.543420_CSWD.epw,41.73,123.45
0,SHENYANG,CHN,CHN_Liaoning.Shenyang.543420_IWEC.epw,41.78,123.48
0,Xingcheng,CHN,CHN_Liaoning.Xingcheng.544550_CSWD.epw,40.58,120.70
0,Xinmin,CHN,CHN_Liaoning.Xinmin.543330_CSWD.epw,41.98,122.83
0,Yingkou,CHN,CHN_Liaoning.Yingkou.544710_CSWD.epw,40.67,122.27
0,Zhangwu,CHN,CHN_Liaoning.Zhangwu.542360_CSWD.epw,42.42,122.53
0,Abag Qi Hot,CHN,CHN_Nei.Mongol.Abag.Qi.Hot.531920_CSWD.epw,44.02,114.95
0,Arxan,CHN,CHN_Nei.Mongol.Arxan.507270_CSWD.epw,47.17,119.93
0,Bailingmiao,CHN,CHN_Nei.Mongol.Bailingmiao.533520_CSWD.epw,41.70,110.43
0,BAILING-MIAO,CHN,CHN_Nei.Mongol.Bailingmiao.533520_SWERA.epw,41.70,110.43
0,Bairin Zuo Qi,CHN,CHN_Nei.Mongol.Bairin.Zuo.Qi.540270_CSWD.epw,43.98,119.40
0,Bayan Mod,CHN,CHN_Nei.Mongol.Bayan.Mod.524950_CSWD.epw,40.17,104.80
0,Bugt,CHN,CHN_Nei.Mongol.Bugt.506320_CSWD.epw,48.77,121.92
0,BUGT,CHN,CHN_Nei.Mongol.Bugt.506320_SWERA.epw,48.77,121.92
0,Chifeng,CHN,CHN_Nei.Mongol.Chifeng.542180_CSWD.epw,42.27,118.93
0,Dong Ujimqin Qi,CHN,CHN_Nei.Mongol.Dong.Ujimqin.Qi.509150_CSWD.epw,45.52,116.97
0,Dongsheng,CHN,CHN_Nei.Mongol.Dongsheng.535430_CSWD.epw,39.83,109.98
